Date : 2023-11-23 14:39:13
Directory : c:\xampp\htdocs\farmaciaProFarma
Total : 775 files,  127110 codes, 45920 comments, 25077 blanks, all 198107 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\AutoFilter.php                                                | PHP        |         94 |         17 |         15 |        126 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Chart.php                                                     | PHP        |      1,482 |         92 |        263 |      1,837 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Comments.php                                                  | PHP        |        135 |         57 |         45 |        237 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\ContentTypes.php                                              | PHP        |        169 |         57 |         43 |        269 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\DefinedNames.php                                              | PHP        |        162 |         36 |         45 |        243 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\DocProps.php                                                  | PHP        |        142 |         51 |         58 |        251 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Drawing.php                                                   | PHP        |        382 |        103 |         98 |        583 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\FunctionPrefix.php                                            | PHP        |        168 |         19 |          8 |        195 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Rels.php                                                      | PHP        |        342 |         89 |         68 |        499 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\RelsRibbon.php                                                | PHP        |         32 |          8 |          7 |         47 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\RelsVBA.php                                                   | PHP        |         26 |          8 |          7 |         41 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\StringTable.php                                               | PHP        |        233 |         66 |         46 |        345 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Style.php                                                     | PHP        |        480 |        143 |        108 |        731 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Table.php                                                     | PHP        |         83 |         15 |         18 |        116 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Theme.php                                                     | PHP        |        420 |        133 |        192 |        745 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Workbook.php                                                  | PHP        |        125 |         55 |         35 |        215 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\Worksheet.php                                                 | PHP        |      1,096 |        235 |        205 |      1,536 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\Xlsx\WriterPart.php                                                | PHP        |         15 |         11 |          6 |         32 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\ZipStream0.php                                                     | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\ZipStream2.php                                                     | PHP        |         14 |          3 |          5 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Writer\ZipStream3.php                                                     | PHP        |         16 |          3 |          4 |         23 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\FAQ.htm                                                                             | HTML       |        240 |          0 |         29 |        269 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\changelog.htm                                                                       | HTML       |        167 |          0 |          1 |        168 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\__construct.htm                                                                 | HTML       |         62 |          0 |          1 |         63 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\acceptpagebreak.htm                                                             | HTML       |         59 |          0 |          4 |         63 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\addfont.htm                                                                     | HTML       |         55 |          0 |          1 |         56 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\addlink.htm                                                                     | HTML       |         24 |          0 |          1 |         25 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\addpage.htm                                                                     | HTML       |         57 |          0 |          1 |         58 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\aliasnbpages.htm                                                                | HTML       |         43 |          0 |          2 |         45 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\cell.htm                                                                        | HTML       |        101 |          0 |          1 |        102 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\close.htm                                                                       | HTML       |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\error.htm                                                                       | HTML       |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\footer.htm                                                                      | HTML       |         35 |          0 |          1 |         36 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\getpageheight.htm                                                               | HTML       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\getpagewidth.htm                                                                | HTML       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\getstringwidth.htm                                                              | HTML       |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\getx.htm                                                                        | HTML       |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\gety.htm                                                                        | HTML       |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\header.htm                                                                      | HTML       |         35 |          0 |          1 |         36 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\image.htm                                                                       | HTML       |        101 |          0 |          1 |        102 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\index.htm                                                                       | HTML       |         59 |          0 |          1 |         60 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\line.htm                                                                        | HTML       |         38 |          0 |          1 |         39 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\link.htm                                                                        | HTML       |         45 |          0 |          1 |         46 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\ln.htm                                                                          | HTML       |         27 |          0 |          2 |         29 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\multicell.htm                                                                   | HTML       |         73 |          0 |          1 |         74 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\output.htm                                                                      | HTML       |         47 |          0 |          1 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\pageno.htm                                                                      | HTML       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\rect.htm                                                                        | HTML       |         48 |          0 |          1 |         49 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setauthor.htm                                                                   | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setautopagebreak.htm                                                            | HTML       |         31 |          0 |          1 |         32 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setcompression.htm                                                              | HTML       |         29 |          0 |          1 |         30 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setcreator.htm                                                                  | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setdisplaymode.htm                                                              | HTML       |         46 |          0 |          1 |         47 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setdrawcolor.htm                                                                | HTML       |         41 |          0 |          2 |         43 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setfillcolor.htm                                                                | HTML       |         40 |          0 |          1 |         41 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setfont.htm                                                                     | HTML       |         83 |          0 |          1 |         84 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setfontsize.htm                                                                 | HTML       |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setkeywords.htm                                                                 | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setleftmargin.htm                                                               | HTML       |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setlinewidth.htm                                                                | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setlink.htm                                                                     | HTML       |         34 |          0 |          1 |         35 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setmargins.htm                                                                  | HTML       |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setrightmargin.htm                                                              | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setsubject.htm                                                                  | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\settextcolor.htm                                                                | HTML       |         39 |          0 |          1 |         40 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\settitle.htm                                                                    | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\settopmargin.htm                                                                | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setx.htm                                                                        | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\setxy.htm                                                                       | HTML       |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\sety.htm                                                                        | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\text.htm                                                                        | HTML       |         37 |          0 |          1 |         38 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\doc\write.htm                                                                       | HTML       |         50 |          0 |          1 |         51 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\courier.php                                                                    | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\courierb.php                                                                   | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\courierbi.php                                                                  | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\courieri.php                                                                   | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\helvetica.php                                                                  | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\helveticab.php                                                                 | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\helveticabi.php                                                                | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\helveticai.php                                                                 | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\symbol.php                                                                     | PHP        |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\times.php                                                                      | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\timesb.php                                                                     | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\timesbi.php                                                                    | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\timesi.php                                                                     | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\font\zapfdingbats.php                                                               | PHP        |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\fpdf.css                                                                            | CSS        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\fpdf.php                                                                            | PHP        |      1,633 |        167 |         97 |      1,897 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\makefont\makefont.php                                                               | PHP        |        401 |         23 |         24 |        448 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\makefont\ttfparser.php                                                              | PHP        |        647 |         30 |         47 |        724 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\CevicheOne-Regular.php                                                     | PHP        |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\calligra.php                                                               | PHP        |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\index.htm                                                                  | HTML       |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\makefont.php                                                               | PHP        |          4 |          1 |          2 |          7 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto1.htm                                                                  | HTML       |         83 |          0 |          2 |         85 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto1.php                                                                  | PHP        |          8 |          0 |          2 |         10 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto2.htm                                                                  | HTML       |         81 |          0 |          4 |         85 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto2.php                                                                  | PHP        |         27 |         11 |          4 |         42 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto3.htm                                                                  | HTML       |        109 |          0 |          8 |        117 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto3.php                                                                  | PHP        |         55 |         19 |          8 |         82 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto4.htm                                                                  | HTML       |        122 |          0 |         11 |        133 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto4.php                                                                  | PHP        |         81 |         18 |         11 |        110 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto5.htm                                                                  | HTML       |        132 |          0 |          6 |        138 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto5.php                                                                  | PHP        |         79 |         18 |          6 |        103 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto6.htm                                                                  | HTML       |        151 |          0 |          9 |        160 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto6.php                                                                  | PHP        |         95 |         10 |          9 |        114 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto7.htm                                                                  | HTML       |        185 |          0 |          7 |        192 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\fpdf\tutorial\tuto7.php                                                                  | PHP        |         10 |          0 |          2 |         12 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\arqueos.php                                                                             | PHP        |         74 |          0 |          5 |         79 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\cajas_view.php                                                                          | PHP        |         73 |          0 |          6 |         79 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\cerrar.php                                                                              | PHP        |         63 |          0 |         12 |         75 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\cierre_caja_pdf.php                                                                     | PHP        |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\editar_caja_view.php                                                                    | PHP        |         46 |          0 |          6 |         52 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\eliminadas_caja_view.php                                                                | PHP        |         62 |          0 |          6 |         68 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\nuevo_arqueo.php                                                                        | PHP        |         55 |          0 |          4 |         59 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cajas\nuevo_caja_view.php                                                                     | PHP        |         39 |          0 |          5 |         44 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\categorias\categorias_view.php                                                                | PHP        |         61 |          0 |          9 |         70 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\categorias\editar_categoria_view.php                                                          | PHP        |         31 |          0 |          7 |         38 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\categorias\eliminadas_categoria_view.php                                                      | PHP        |         58 |          0 |          3 |         61 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\categorias\nuevo_categoria_view.php                                                           | PHP        |         28 |          0 |          3 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\compras\compras_view.php                                                                      | PHP        |         53 |          0 |          6 |         59 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\compras\nuevo_compras_view.php                                                                | PHP        |        160 |          1 |         26 |        187 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\compras\ver_compra_pdf.php                                                                    | PHP        |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\configuracion\configuracion_view.php                                                          | PHP        |         87 |          0 |          9 |         96 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\configuracion\nuevo_configuracion_view.php                                                    | PHP        |         28 |          0 |          3 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\cuerpo.php                                                                                    | PHP        |         48 |          0 |          5 |         53 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\encabezado.php                                                                                | PHP        |        140 |          0 |         14 |        154 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\cli\error_404.php                                                                      | PHP        |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\cli\error_exception.php                                                                | PHP        |         48 |          2 |         16 |         66 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\cli\production.php                                                                     | PHP        |          2 |          2 |          2 |          6 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\html\debug.css                                                                         | CSS        |        190 |          0 |          8 |        198 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\html\debug.js                                                                          | JavaScript |         91 |         12 |         16 |        119 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\html\error_404.php                                                                     | PHP        |         82 |          0 |          3 |         85 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\html\error_exception.php                                                               | PHP        |        338 |          1 |         59 |        398 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\errors\html\production.php                                                                    | PHP        |         17 |          0 |          9 |         26 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\inicio.php                                                                                    | PHP        |        108 |          0 |         10 |        118 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\login.php                                                                                     | PHP        |         76 |          0 |         10 |         86 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\logs\logs_view.php                                                                            | PHP        |         55 |          0 |          3 |         58 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\pie_pagina.php                                                                                | PHP        |         25 |          0 |          6 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\productos\editar_producto_view.php                                                            | PHP        |        114 |         13 |         10 |        137 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\productos\eliminadas_producto_view.php                                                        | PHP        |         72 |          0 |          3 |         75 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\productos\nuevo_producto_view.php                                                             | PHP        |         99 |         12 |          7 |        118 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\productos\por_vencer.php                                                                      | PHP        |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\productos\productos_view.php                                                                  | PHP        |         85 |          0 |          6 |         91 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\productos\ver_codigos.php                                                                     | PHP        |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\productos\ver_minimos.php                                                                     | PHP        |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\proveedores\editar_proveedor_view.php                                                         | PHP        |         68 |          0 |          9 |         77 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\proveedores\eliminadas_proveedor_view.php                                                     | PHP        |         66 |          0 |          6 |         72 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\proveedores\nuevo_proveedor_view.php                                                          | PHP        |         57 |          0 |         10 |         67 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\proveedores\proveedores_view.php                                                              | PHP        |         71 |          0 |          5 |         76 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\roles\detalles_rol.php                                                                        | PHP        |         44 |          0 |          4 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\roles\editar_rol_view.php                                                                     | PHP        |         31 |          0 |          8 |         39 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\roles\eliminadas_rol_view.php                                                                 | PHP        |         58 |          0 |          3 |         61 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\roles\nuevo_rol_view.php                                                                      | PHP        |         28 |          0 |          3 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\roles\roles_view.php                                                                          | PHP        |         69 |          0 |          4 |         73 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\usuarios\cambia_password.php                                                                  | PHP        |         51 |          0 |          7 |         58 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\usuarios\editar_usuario_view.php                                                              | PHP        |         70 |          0 |         17 |         87 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\usuarios\eliminadas_usuario_view.php                                                          | PHP        |         66 |          0 |          5 |         71 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\usuarios\nuevo_usuario_view.php                                                               | PHP        |         87 |          0 |          6 |         93 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\usuarios\usuarios_view.php                                                                    | PHP        |         67 |          0 |          6 |         73 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\ventas\eliminadas_ventas_view.php                                                             | PHP        |         61 |          0 |          7 |         68 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\ventas\nuevo_ventas.php                                                                       | PHP        |        150 |          1 |         18 |        169 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\ventas\ventas_view.php                                                                        | PHP        |         71 |          0 |          5 |         76 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\ventas\ver_ticket.php                                                                         | PHP        |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\farmaciaProFarma\app\Views\welcome_message.php                                                                           | PHP        |        282 |          0 |         43 |        325 |
| c:\xampp\htdocs\farmaciaProFarma\app\index.html                                                                                          | HTML       |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\farmaciaProFarma\composer.json                                                                                           | JSON       |         25 |         17 |          0 |         42 |
| c:\xampp\htdocs\farmaciaProFarma\composer.lock                                                                                           | JSON       |         51 |      2,543 |          0 |      2,594 |
| c:\xampp\htdocs\farmaciaProFarma\public\assets\demo\chart-area-demo.js                                                                   | JavaScript |         51 |          2 |          2 |         55 |
| c:\xampp\htdocs\farmaciaProFarma\public\assets\demo\chart-bar-demo.js                                                                    | JavaScript |         43 |          2 |          2 |         47 |
| c:\xampp\htdocs\farmaciaProFarma\public\assets\demo\chart-pie-demo.js                                                                    | JavaScript |         13 |          2 |          2 |         17 |
| c:\xampp\htdocs\farmaciaProFarma\public\assets\demo\datatables-demo.js                                                                   | JavaScript |          8 |          1 |          1 |         10 |
| c:\xampp\htdocs\farmaciaProFarma\public\assets\img\error-404-monochrome.svg                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\farmaciaProFarma\public\css\Nueva carpeta\bootstrap-datetimepicker.min.css                                               | CSS        |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\farmaciaProFarma\public\css\Nueva carpeta\dataTables.bootstrap4.min.css                                                  | CSS        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\farmaciaProFarma\public\css\Nueva carpeta\style.css                                                                      | CSS        |        143 |          2 |         28 |        173 |
| c:\xampp\htdocs\farmaciaProFarma\public\css\bootstrap.min.css                                                                            | CSS        |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\farmaciaProFarma\public\css\dataTables.bootstrap4.min.css                                                                | CSS        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\farmaciaProFarma\public\css\styles.css                                                                                   | CSS        |     10,423 |         39 |        781 |     11,243 |
| c:\xampp\htdocs\farmaciaProFarma\public\css\toastr.min.css                                                                               | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\farmaciaProFarma\public\index.php                                                                                        | PHP        |          9 |         21 |          8 |         38 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\Chart.min.js                                                                                  | JavaScript |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\all.js                                                                                        | JavaScript |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\bootstrap.bundle.min.js                                                                       | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\bootstrap.min.js                                                                              | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\dataTables.bootstrap4.min.js                                                                  | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\jquery-ui\external\jquery\jquery.js                                                           | JavaScript |      6,895 |      1,911 |      2,076 |     10,882 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\jquery-ui\index.html                                                                          | HTML       |        447 |         16 |         41 |        504 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\jquery-ui\jquery-ui.css                                                                       | CSS        |      1,224 |         49 |         43 |      1,316 |
| c:\xampp\htdocs\farmaciaProFarma\public\js\jquery-ui\jquery-ui.js                                                                        | JavaScript |     13,868 |      2,107 |      3,087 |     19,062 |
