Date : 2023-11-23 14:39:13
Directory : c:\xampp\htdocs\farmaciaProFarma
Total : 775 files,  127110 codes, 45920 comments, 25077 blanks, all 198107 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Trend\PowerBestFit.php                                             | PHP        |         46 |         43 |         13 |        102 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Trend\Trend.php                                                    | PHP        |         87 |         31 |         12 |        130 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\XMLWriter.php                                                      | PHP        |         53 |         31 |         16 |        100 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Xls.php                                                            | PHP        |        125 |        117 |         34 |        276 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Spreadsheet.php                                                           | PHP        |        824 |        632 |        199 |      1,655 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\Alignment.php                                                       | PHP        |        307 |        179 |         58 |        544 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\Border.php                                                          | PHP        |        122 |         84 |         30 |        236 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\Borders.php                                                         | PHP        |        190 |        174 |         47 |        411 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\Color.php                                                           | PHP        |        255 |        126 |         45 |        426 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\Conditional.php                                                     | PHP        |        192 |        117 |         49 |        358 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\CellMatcher.php                               | PHP        |        206 |         44 |         49 |        299 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\CellStyleAssessor.php                         | PHP        |         27 |          5 |          8 |         40 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\ConditionalColorScale.php                     | PHP        |         66 |          0 |         27 |         93 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\ConditionalDataBar.php                        | PHP        |         55 |          0 |         22 |         77 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\ConditionalDataBarExtension.php               | PHP        |        175 |         55 |         60 |        290 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\ConditionalFormatValueObject.php              | PHP        |         41 |          0 |         15 |         56 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\ConditionalFormattingRuleExtension.php        | PHP        |        173 |         10 |         33 |        216 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\StyleMerger.php                               | PHP        |         87 |          4 |         25 |        116 |
